hospital_name,last_updated_on,as_of_date,version,hospital_location,hospital_address,license_number|NJ,financial_aid_policy,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,
DRUG TEST DEF 1-7 CLASSES,3600000081,CDM,300,RC,G0480,HCPCS,Facility,Both,,,358,143.2,CONCERN PLUS,ALL PRODUCTS,,,,,,51.91,51.91,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CARBAMAZEPINE TOTAL,3600000083,CDM,300,RC,80156,HCPCS,Facility,Both,,,220,88,CONCERN PLUS,ALL PRODUCTS,,,,,,31.9,31.9,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
AMMONIA PLASMA,3600000085,CDM,300,RC,82140,HCPCS,Facility,Both,,,183,73.2,CONCERN PLUS,ALL PRODUCTS,,,,,,26.535,26.535,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LITHIUM SERUM,3600000087,CDM,300,RC,80178,HCPCS,Facility,Both,,,135,54,CONCERN PLUS,ALL PRODUCTS,,,,,,19.575,19.575,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DRUG SCREENING METHADONE,3600000088,CDM,300,RC,80358,HCPCS,Facility,Both,,,83,33.2,CONCERN PLUS,ALL PRODUCTS,,,,,,12.035,12.035,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
IADNA CHLAMYDIA TRACHOMATIS AMPLIFIED PROBE TQ,4100007001,CDM,309,RC,87491,HCPCS,Facility,Both,,,277,110.8,CONCERN PLUS,ALL PRODUCTS,,,,,,40.165,40.165,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
IADNA NEISSERIA GONORRHOEAE AMPLIFIED PROBE TQ,4100007002,CDM,309,RC,87591,HCPCS,Facility,Both,,,286,114.4,CONCERN PLUS,ALL PRODUCTS,,,,,,41.47,41.47,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANTIBODY EPSTEIN-BARR EB VIRUS VIRAL CAPSID VCA,4400037601,CDM,300,RC,86665,HCPCS,Facility,Both,,,50,20,CONCERN PLUS,ALL PRODUCTS,,,,,,7.25,7.25,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
IRON TOTAL,4500000101,CDM,300,RC,83540,HCPCS,Facility,Both,,,105,42,CONCERN PLUS,ALL PRODUCTS,,,,,,15.225,15.225,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
IRON BINDING CAPCITY,4500000102,CDM,300,RC,83550,HCPCS,Facility,Both,,,113,45.2,CONCERN PLUS,ALL PRODUCTS,,,,,,16.385,16.385,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANTIBODY HERPES SMPLX TYPE 1,4500002701,CDM,300,RC,86695,HCPCS,Facility,Both,,,90,36,CONCERN PLUS,ALL PRODUCTS,,,,,,13.05,13.05,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANTIBODY HERPES SMPLX TYPE 2,4500002702,CDM,300,RC,86696,HCPCS,Facility,Both,,,95,38,CONCERN PLUS,ALL PRODUCTS,,,,,,13.775,13.775,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ASSAY OF TESTOSTERONE TOTAL,4500005101,CDM,300,RC,84403,HCPCS,Facility,Both,,,72,28.8,CONCERN PLUS,ALL PRODUCTS,,,,,,10.44,10.44,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ASSAY OF TESTOSTERONE FREE,4500005102,CDM,300,RC,84402,HCPCS,Facility,Both,,,110,44,CONCERN PLUS,ALL PRODUCTS,,,,,,15.95,15.95,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANTIBODY PROTOZOA NES,4500009801,CDM,300,RC,86753,HCPCS,Facility,Both,,,105,42,CONCERN PLUS,ALL PRODUCTS,,,,,,15.225,15.225,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
NFCT AGT DRUG SUSCEPT PHENOTYPE PREDICTION,4500010101,CDM,300,RC,87900,HCPCS,Facility,Both,,,702,280.8,CONCERN PLUS,ALL PRODUCTS,,,,,,101.79,101.79,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
NFCT GEXYP NUCLEIC ACID HIV REV TRNSCR&PROTEAS,4500010102,CDM,300,RC,87901,HCPCS,Facility,Both,,,707,282.8,CONCERN PLUS,ALL PRODUCTS,,,,,,102.515,102.515,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANTIBODY HERPES SMPLX TYPE 1,4500017401,CDM,300,RC,86695,HCPCS,Facility,Both,,,90,36,CONCERN PLUS,ALL PRODUCTS,,,,,,13.05,13.05,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANTIBODY HERPES SMPLX TYPE 2,4500017402,CDM,300,RC,86696,HCPCS,Facility,Both,,,95,38,CONCERN PLUS,ALL PRODUCTS,,,,,,13.775,13.775,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THYROID HORM UPTK/THYROID HORMONE BINDING RATIO,4500027701,CDM,300,RC,84479,HCPCS,Facility,Both,,,123,49.2,CONCERN PLUS,ALL PRODUCTS,,,,,,17.835,91.512,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ASSAY OF THYROXINE TOTAL,4500027702,CDM,300,RC,84436,HCPCS,Facility,Both,,,128,51.2,CONCERN PLUS,ALL PRODUCTS,,,,,,18.56,95.232,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ASSAY OF THYROID STIMULATING HORMONE TSH,4500027703,CDM,300,RC,84443,HCPCS,Facility,Both,,,266,106.4,CONCERN PLUS,ALL PRODUCTS,,,,,,38.57,197.904,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
B CELLS TOTAL COUNT,4500028401,CDM,300,RC,86355,HCPCS,Facility,Both,,,237,94.8,CONCERN PLUS,ALL PRODUCTS,,,,,,34.365,34.365,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
NATURAL KILLER CELLS TOTAL COUNT,4500028402,CDM,300,RC,86357,HCPCS,Facility,Both,,,273,109.2,CONCERN PLUS,ALL PRODUCTS,,,,,,39.585,39.585,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
T CELLS TOTAL COUNT,4500028403,CDM,300,RC,86359,HCPCS,Facility,Both,,,312,124.8,CONCERN PLUS,ALL PRODUCTS,,,,,,45.24,45.24,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
T CELLS ABSOLUTE CD4&CD8 COUNT RATIO,4500028404,CDM,300,RC,86360,HCPCS,Facility,Both,,,348,139.2,CONCERN PLUS,ALL PRODUCTS,,,,,,50.46,50.46,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
OVA&PARASITES DIRECT SMEARS CONCENTRATION & ID,4500036901,CDM,300,RC,87177,HCPCS,Facility,Both,,,235,94,CONCERN PLUS,ALL PRODUCTS,,,,,,34.075,34.075,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SMR PRIM SRC CPLX SPEC STAIN OVA&PARASITS,4500036902,CDM,300,RC,87209,HCPCS,Facility,Both,,,127,50.8,CONCERN PLUS,ALL PRODUCTS,,,,,,18.415,18.415,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
IAAD IA GIARDIA,4500036903,CDM,300,RC,87329,HCPCS,Facility,Both,,,119,47.6,CONCERN PLUS,ALL PRODUCTS,,,,,,17.255,17.255,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DULAGLUTIDE 0.75 MG/0.5ML SC SOPN,2143301,CDM,636,RC,J3490,HCPCS,Facility,Both,0.5,mL,1475.96,590.384,CONCERN PLUS,ALL PRODUCTS,,,,,,214.0142,1098.11424,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DULAGLUTIDE 1.5 MG/0.5ML SC SOPN,2143401,CDM,636,RC,J3490,HCPCS,Facility,Both,0.5,mL,934.22,373.688,CONCERN PLUS,ALL PRODUCTS,,,,,,135.4619,695.05968,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN LISPRO 100 UNIT/ML IJ SOLN,2751017,CDM,250,RC,J1815,HCPCS,Facility,Both,3,mL,72.05,26.2,CONCERN PLUS,ALL PRODUCTS,,,,,,10.44725,53.6052,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN LISPRO PROT & LISPRO (75-25) 100 UNIT/ML SC SUSP,2751101,CDM,250,RC,J1815,HCPCS,Facility,Both,10,mL,274.307,99.748,CONCERN PLUS,ALL PRODUCTS,,,,,,39.774515,204.084408,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,2821517,CDM,250,RC,J1815,HCPCS,Facility,Both,3,mL,25.718,9.352,CONCERN PLUS,ALL PRODUCTS,,,,,,3.72911,19.134192,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN NPH ISOPHANE & REGULAR (70-30) 100 UNIT/ML SC SUSP,2871517,CDM,250,RC,J1815,HCPCS,Facility,Both,3,mL,25.718,9.352,CONCERN PLUS,ALL PRODUCTS,,,,,,3.72911,19.134192,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN LISPRO (1 UNIT DIAL) 100 UNIT/ML SC SOPN,2879901,CDM,250,RC,J1815,HCPCS,Facility,Both,3,mL,102.85,37.4,CONCERN PLUS,ALL PRODUCTS,,,,,,14.91325,76.5204,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LIDOCAINE HCL (PF) 1 % IJ SOLN,143959501,CDM,250,RC,J3490,HCPCS,Facility,Both,5,mL,7.26,2.64,CONCERN PLUS,ALL PRODUCTS,,,,,,1.0527,5.40144,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN DETEMIR 100 UNIT/ML SC SOLN,169368712,CDM,250,RC,J1815,HCPCS,Facility,Both,10,mL,1641.013,596.732,CONCERN PLUS,ALL PRODUCTS,,,,,,237.946885,1220.913672,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,409341418,CDM,636,RC,J2765,HCPCS,Facility,Both,2,mL,5.14,2.056,CONCERN PLUS,ALL PRODUCTS,,,,,,0.7453,3.82416,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ATROPINE SULFATE 0.4 MG/ML IJ SOLN,517040125,CDM,636,RC,J0461,HCPCS,Facility,Both,1,mL,21.42,8.568,CONCERN PLUS,ALL PRODUCTS,,,,,,3.1059,15.93648,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,641037621,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,5.39,2.156,CONCERN PLUS,ALL PRODUCTS,,,,,,0.78155,4.01016,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LORAZEPAM 2 MG/ML IJ SOLN,641604401,CDM,636,RC,J2060,HCPCS,Facility,Both,1,mL,5.65,2.26,CONCERN PLUS,ALL PRODUCTS,,,,,,0.81925,4.2036,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,641605725,CDM,636,RC,J2250,HCPCS,Facility,Both,2,mL,3.15,1.26,CONCERN PLUS,ALL PRODUCTS,,,,,,0.45675,2.3436,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,641614501,CDM,636,RC,J1100,HCPCS,Facility,Both,1,mL,1.5,0.6,CONCERN PLUS,ALL PRODUCTS,,,,,,0.2175,1.116,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,16729047163,CDM,636,RC,J3490,HCPCS,Facility,Both,1,mL,7.25,2.9,CONCERN PLUS,ALL PRODUCTS,,,,,,1.05125,5.394,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ATROPINE SULFATE 1 MG/10ML IJ SOSY,16729048445,CDM,636,RC,J0461,HCPCS,Facility,Both,10,mL,32.68,13.072,CONCERN PLUS,ALL PRODUCTS,,,,,,4.7386,24.31392,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ATROPINE SULFATE 0.4 MG/ML IV SOLN,16729052563,CDM,636,RC,J0461,HCPCS,Facility,Both,1,mL,17.22,6.888,CONCERN PLUS,ALL PRODUCTS,,,,,,2.4969,12.81168,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN GLARGINE-YFGN 100 UNIT/ML SC SOLN,49502039380,CDM,250,RC,J1815,HCPCS,Facility,Both,10,mL,365.134,132.776,CONCERN PLUS,ALL PRODUCTS,,,,,,52.94443,271.659696,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
COVID-19 MRNA VAC-TRIS(PFIZER) 30 MCG/0.3ML IM SUSP,59267102504,CDM,636,RC,91305,HCPCS,Facility,Both,1.8,mL,0.05,0.02,CONCERN PLUS,ALL PRODUCTS,,,,,,0.00725,0.0372,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ONDANSETRON HCL 4 MG/2ML IJ SOLN,60505613000,CDM,636,RC,J2405,HCPCS,Facility,Both,2,mL,1.29,0.516,CONCERN PLUS,ALL PRODUCTS,,,,,,0.18705,0.95976,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,63323016200,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,4.04,1.616,CONCERN PLUS,ALL PRODUCTS,,,,,,0.5858,3.00576,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LIDOCAINE HCL 2 % IJ SOLN,63323020202,CDM,636,RC,J3490,HCPCS,Facility,Both,2,mL,15.51,6.204,CONCERN PLUS,ALL PRODUCTS,,,,,,2.24895,11.53944,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PROPOFOL 10 MG/ML IV EMUL (IV PUSH FOR INTUBATION / SEDATION) *WRAPPED*,63323026970,CDM,636,RC,J2704,HCPCS,Facility,Both,20,mL,10.81,4.324,CONCERN PLUS,ALL PRODUCTS,,,,,,1.56745,8.04264,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PROPOFOL 10 MG/ML IV EMUL *WRAPPED*,63323026970_2,CDM,636,RC,J2704,HCPCS,Facility,Both,20,mL,10.81,4.324,CONCERN PLUS,ALL PRODUCTS,,,,,,1.56745,8.04264,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HYDRALAZINE HCL 20 MG/ML IJ SOLN,63323061400,CDM,636,RC,J0360,HCPCS,Facility,Both,1,mL,15.84,6.336,CONCERN PLUS,ALL PRODUCTS,,,,,,2.2968,11.78496,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,63323066400,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,3.88,1.552,CONCERN PLUS,ALL PRODUCTS,,,,,,0.5626,2.88672,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HALOPERIDOL LACTATE 5 MG/ML IJ SOLN,67457042600,CDM,636,RC,J1630,HCPCS,Facility,Both,1,mL,3.84,1.536,CONCERN PLUS,ALL PRODUCTS,,,,,,0.5568,2.85696,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SUCCINYLCHOLINE CHLORIDE 20 MG/ML IJ SOLN,70121158101,CDM,636,RC,J0330,HCPCS,Facility,Both,10,mL,31.67,12.668,CONCERN PLUS,ALL PRODUCTS,,,,,,4.59215,23.56248,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ONDANSETRON HCL 4 MG/2ML IJ SOLN,70860077641,CDM,636,RC,J2405,HCPCS,Facility,Both,2,mL,2.15,0.86,CONCERN PLUS,ALL PRODUCTS,,,,,,0.31175,1.5996,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,71288041401,CDM,636,RC,J3490,HCPCS,Facility,Both,1,mL,3.2,1.28,CONCERN PLUS,ALL PRODUCTS,,,,,,0.464,2.3808,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,71288041403,CDM,636,RC,J3490,HCPCS,Facility,Both,1,mL,3.3,1.32,CONCERN PLUS,ALL PRODUCTS,,,,,,0.4785,2.4552,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,72266011801,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,7.96,3.184,CONCERN PLUS,ALL PRODUCTS,,,,,,1.1542,5.92224,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,72266011825,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,8.23,3.292,CONCERN PLUS,ALL PRODUCTS,,,,,,1.19335,6.12312,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,72485010101,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,2.64,1.056,CONCERN PLUS,ALL PRODUCTS,,,,,,0.3828,1.96416,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,72611072201,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,4.28,1.712,CONCERN PLUS,ALL PRODUCTS,,,,,,0.6206,3.18432,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,72611074101,CDM,636,RC,J2250,HCPCS,Facility,Both,2,mL,1.99,0.796,CONCERN PLUS,ALL PRODUCTS,,,,,,0.28855,1.48056,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,72611074125,CDM,636,RC,J2250,HCPCS,Facility,Both,2,mL,1.99,0.796,CONCERN PLUS,ALL PRODUCTS,,,,,,0.28855,1.48056,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INSULIN ASPART PROT & ASPART (70-30) 100 UNIT/ML SC SUSP,73070020011,CDM,250,RC,J1815,HCPCS,Facility,Both,10,mL,775.258,281.912,CONCERN PLUS,ALL PRODUCTS,,,,,,112.41241,576.791952,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,76045010210,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,8.03,3.212,CONCERN PLUS,ALL PRODUCTS,,,,,,1.16435,5.97432,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,76045010410,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,7.78,3.112,CONCERN PLUS,ALL PRODUCTS,,,,,,1.1281,5.78832,20,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CARRIER PSYCH SEMI PRIVATE,1000000042,CDM,124,RC,,,Facility,Inpatient,,,3300,1320,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,745.08,,,,600,2866,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE DETOX,1000000043,CDM,126,RC,,,Facility,Inpatient,,,2750,1100,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,2607,25,,,
CARRIER BLAKE SEMI-PRIVATE REHAB,1000000044,CDM,128,RC,,,Facility,Inpatient,,,2750,1100,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,2607,25,,,
CARRIER ADMISTRATIVE DAY RATE,1000000062,CDM,199,RC,,,Facility,Inpatient,,,3300,1320,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,2607,25,,,
CARRIER BLAKE SEMI-PRIVATE RESIDENTIAL,1000000045,CDM,1002,RC,,,Facility,Inpatient,,,2750,1100,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,201.6,1896,25,,,
CARRIER  ADOL REHAB SERVICE BHS,1000000046,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE PCH,1000000047,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE RTC,1000000048,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE IRT,1000000049,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE BHS,1000000050,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE PCH,1000000051,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE RTC,1000000052,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB HOSPITAL LEAVE BHS,1000000053,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB HOSPITAL LEAVE  PCH,1000000054,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE REHAB RTC,1000000055,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER THERAPEUTIC LEAVE IRT,1000000059,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE IRT,1000000060,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,275,1896,25,,,
IMM ADM SARSCV2 30MCG TRS-SUCR 2ND DOSE READY TO USE PFIZER,200052A001,CDM,771,RC,0052A,HCPCS,Facility,Inpatient,,,138,55.2,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,,,2,,,
COLLECTION VENOUS BLOOD VENIPUNCTURE,2036415001,CDM,300,RC,36415,HCPCS,Facility,Inpatient,,,47,18.8,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,,,2,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,2070150001,CDM,320,RC,70150,HCPCS,Facility,Inpatient,,,545,218,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,,,5,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION NECK SOFT TISSUE,2070360001,CDM,320,RC,70360,HCPCS,Facility,Inpatient,,,435,174,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,,,5,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM CHEST SINGLE VIEW,2071045001,CDM,324,RC,71045,HCPCS,Facility,Inpatient,,,429,171.6,NJDMHAS-DIVERSION PROGRAM,ALL PRODUCTS,,,,,,,,5,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
